name,sku,itemType,unit,categoryId,supplierId,warningLevel,criticalLevel,serialNumber,acquisitionDate,condition,initialQty,batchNo,expiryDate
Dobutamine (Dobumax) 250mg/20ml,MED-DOBUTAMINE-DOB-250,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Dobutamine (Dobuzef) 250mg/5ml,MED-DOBUTAMINE-DOBU-250,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Dobutamine 50mg/ml 5ml,MED-DOBUTAMINE-INF-50,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Dopamine (Dopamax) 40mg/ml,MED-DOPAMINE-DOP-40,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Dopamine (Gopamin) 40mg/ml,MED-DOPAMINE-GOP-40,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
ECG Electrode,CON-ECG-ELECTRODE,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
ECG Paper 80mm x 20m,CON-ECG-PAPER-80X20,MEDICAL_CONSUMABLE,roll,cat-consumable,,10,5,,,GOOD,0,,
Endotracheal Tube 6.5 with balloon,CON-ET-TUBE-65,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Endotracheal Tube 7.0,CON-ET-TUBE-70,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Endotracheal Tube 8.0,CON-ET-TUBE-80,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Epinephrine (Adrenalin) 1ml,MED-EPINEPHRINE-ADR-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Epinephrine HCL (Epicare) 1mg/ml,MED-EPINEPHRINE-EPI-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Epinephrine HCL (Epimeds) 1mg/ml,MED-EPINEPHRINE-EPM-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Erythropoietin Alfa (Epokine) 2000iu,MED-EPOETIN-EPOK-2000,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Erythropoietin Alfa (Epokine) 4000iu,MED-EPOETIN-EPOK-4000,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Erythropoietin Alfa (Epokine) 6000iu,MED-EPOETIN-EPOK-6000,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Erythropoietin Alfa (Eposino) 4000iu,MED-EPOETIN-EPOS-4000,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Erythropoietin Alfa (Eposino) 6000iu,MED-EPOETIN-EPOS-6000,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Febuxostat (Febuxipro),MED-FEBUXOSTAT-FEB,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Febuxostat 40mg,MED-FEBUXOSTAT-40,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Ferrous Sulfate + Folic Acid,MED-FERROUS-FOLIC,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Flu Vaccine Quadrivalent,MED-FLU-VACC-QUAD,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Furosemide (Lasix),MED-FUROSEMIDE-LASIX,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Furosemide (Lazimed) 20mg,MED-FUROSEMIDE-LAZ-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Furosemide (RM Frusema) 40mg,MED-FUROSEMIDE-RM-40,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Furosemide (Siti-furose) 20mg/ml,MED-FUROSEMIDE-SITI-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Gauze Pad - Sterile,CON-GAUZE-PAD-STERILE,MEDICAL_CONSUMABLE,pcs,cat-consumable-wound,,10,5,,,GOOD,0,,
Gentamicin (Genta Care) 80mg,MED-GENTAMICIN-GC-80,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Gentamicin (Gentam) 80mg/2ml,MED-GENTAMICIN-GNT-80,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Gentamicin (Gentavest) 80mg,MED-GENTAMICIN-GV-80,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Gentamicin 40mg Ampule,MED-GENTAMICIN-40A,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Gentamicin 80mg Amp,MED-GENTAMICIN-80A,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Haloperidol (Seredol) 5mg,MED-HALOPERIDOL-SER-5,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Hep B Vaccine Recombinant (Amvax B),MED-HEPB-VACC-AMV,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hepa B Vaccine,MED-HEPA-B-VACC,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Heparin,MED-HEPARIN-GEN,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrite Sachet,CON-HYDRITE-SACHET,MEDICAL_CONSUMABLE,sachet,cat-consumable,,10,5,,,GOOD,0,,
Hydrocortisone,MED-HYDROCORT-GEN,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Cortirex) 100mg,MED-HYDROCORT-CRT-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Gortizone) 100mg,MED-HYDROCORT-GOR-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Hydrocortibas) 100mg,MED-HYDROCORT-HDB-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Lycortis) 100mg,MED-HYDROCORT-LYC-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Solu-Cortef) 100mg,MED-HYDROCORT-SOL-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Solu-cortef) 100mg vial,MED-HYDROCORT-SOLC-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (Stericort) 100mg,MED-HYDROCORT-STR-100,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hydrocortisone (temp),MED-HYDROCORT-TEMP,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine (Eurozine),MED-HYOSCINE-EUR,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine (Hyosaph) 20mg,MED-HYOSCINE-HYO-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine (Spasbascine),MED-HYOSCINE-SPB,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine (Spasbascine) 20mg,MED-HYOSCINE-SPB-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine (Spasmosan) 20mg,MED-HYOSCINE-SPS-20A,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine (Spasmosan) 20mg Ampule,MED-HYOSCINE-SPS-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Hyoscine Butylbromide (Myomide) 20ml,MED-HYOSCINE-MYO-20,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
IH - Transparent Medical Tape,CON-IH-TAPE,MEDICAL_CONSUMABLE,roll,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter 18 (Venlof),CON-IVC-VENLOF-18,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G16,CON-IVC-G16,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G18,CON-IVC-G18,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G20,CON-IVC-G20,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G20 (Simplex),CON-IVC-G20-SMP,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G22,CON-IVC-G22,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G22 (Simplex),CON-IVC-G22-SMP,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Catheter G24 (Simplex),CON-IVC-G24-SMP,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Needle Gauge 18,CON-IVN-G18,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IV Needle Gauge 20,CON-IVN-G20,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
IVF D5 0.3% NaCl (Euromed) 500ml,CON-IVF-D5-03-EURO-500,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
IVF D5 LR (Euromed) 1L,CON-IVF-D5-LR-EURO-1L,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
IVF D5 NM (Euromed) 500ml,CON-IVF-D5-NM-EURO-500,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
IVF D5 NSS (Euromed) 1L,CON-IVF-D5-NSS-EURO-1L,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
IVF D5 Water (Euromed) 500ml,CON-IVF-D5-W-EURO-500,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
IVF D5 Water Glass (Euromed) 250ml,CON-IVF-D5-W-EURO-250G,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
IVF D50 Water Polyamp 50ml,MED-IVF-D50-POLY-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Ipratropium Bromide (Combivent),MED-IPRATROPIUM-COMB,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Iron (Ferricore),MED-IRON-FERRICORE,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Iron Bliron,MED-IRON-BLIRON,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Iron Sucrose (Ferogen) 20mg/ml,MED-IRON-SUCR-FER-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Iron Sucrose (Ironova) 20mg/ml,MED-IRON-SUCR-IRN-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Iron Sucrose (Mesopen),MED-IRON-SUCR-MESO,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Iron Sucrose (Porsrose) 20mg/ml,MED-IRON-SUCR-POR-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Isosorbide Dinitrate (Isordil) 5mg SL,MED-ISOSORBIDE-ISO-5,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Keto Analogue (Kessen),MED-KETO-ANALOGUE-KES,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Laryngeal Mask Airway,CON-LARYNGEAL-MASK,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Lidocaine (Euromed) 2% 5ml,MED-LIDOCAINE-EURO-2-5,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Lidocaine 2% 50ml,MED-LIDOCAINE-2-50,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Linagliptin (Trajenta) 5mg,MED-LINAGLIPTIN-TRA-5,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Losartan,MED-LOSARTAN-GEN,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Losartan (Retasart) 50mg,MED-LOSARTAN-RET-50,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Lubricating Jelly 3g,CON-LUBR-JELLY-3G,MEDICAL_CONSUMABLE,sachet,cat-consumable,,10,5,,,GOOD,0,,
Lubricating Jelly 5g,CON-LUBR-JELLY-5G,MEDICAL_CONSUMABLE,sachet,cat-consumable,,10,5,,,GOOD,0,,
Macro Infusion Set,CON-MACRO-INF-SET,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Macro Infusion Set - Inventory,CON-MACRO-INF-SET-INV,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Magnesium Sulfate 25% 20ml,MED-MAGNESIUM-SULF-20,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Mannitol (Euromed),MED-MANNITOL-EURO,MEDICATION,bottle,cat-med-injectable,,10,5,,,GOOD,0,,
Mannitol (Hemostan) 500mg,MED-MANNITOL-HEM-500,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Manual Resuscitator Silicon (Adult),EQP-MANUAL-RESUS-ADULT,MEDICAL_EQUIPMENT,pcs,cat-equipment,,10,5,,,GOOD,0,,
Mefenamic Acid (Megyxan) 500mg,MED-MEFENAMIC-MEG-500,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Mefenamic Acid (Remef) 500mg,MED-MEFENAMIC-REM-500,MEDICATION,capsule,cat-med-oral,,10,5,,,GOOD,0,,
Mefenamic Acid (Ritemed),MED-MEFENAMIC-RITE,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Methylprednisolone (Medrol) 4mg,MED-METHYLPRED-MED-4,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Metoclopramide (Meclop) 10mg,MED-METOCLOPRAMIDE-MEC-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Metoclopramide (Metoclon) 10mg,MED-METOCLOPRAMIDE-MTCN-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Metoclopramide (Metoclosil) 10mg,MED-METOCLOPRAMIDE-MTC-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Metoclopramide (Plasil),MED-METOCLOPRAMIDE-PLS,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Metoclopramide (Plasil) 10mg,MED-METOCLOPRAMIDE-PLS-10,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Metoclopramide (Plazimide) 10mg,MED-METOCLOPRAMIDE-PLZ-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Metoclopramide (Plazimide) 5mg,MED-METOCLOPRAMIDE-PLZ-5,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Metoprolol (Neobloc) 50mg,MED-METOPROLOL-NEO-50,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Metoprolol (Prolol) 50mg,MED-METOPROLOL-PRO-50,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Micropore Tape (1 inch),CON-MICROPORE-TAPE-1,MEDICAL_CONSUMABLE,roll,cat-consumable,,10,5,,,GOOD,0,,
Multivitamins + Iron (Foralivit),MED-MULTIVIT-FOR-CAP,MEDICATION,capsule,cat-med-oral,,10,5,,,GOOD,0,,
NGT Non-Silicone F12,CON-NGT-F12,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Nebulizer Mask (Adult),CON-NEBULIZER-MASK-AD,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Nebulizing Kit,CON-NEBULIZING-KIT,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Nicardipine (Agynapin) 10mg,MED-NICARDIPINE-AGY-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Nicardipine (Cardiphil) 10ml,MED-NICARDIPINE-CRD-10,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Norepinephrine (Norbit) 1mg/ml 10ml,MED-NOREPINEPHRINE-NRB-10,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Norepinephrine (Norepin) 1mg/ml 10ml,MED-NOREPINEPHRINE-NOR-10,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Norepinephrine (Norepin) 2ml,MED-NOREPINEPHRINE-NOR-2,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Norepinephrine (Norepinsaph) 10mg,MED-NOREPINEPHRINE-NPS-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Norepinephrine (Norepinsaph) 4mg,MED-NOREPINEPHRINE-NPS-4,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Norepinephrine (Philnor) 4ml,MED-NOREPINEPHRINE-PHL-4,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Omeprazole (Oprex) 40mg,MED-OMEPRAZOLE-OPR-40,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Omeprazole (Philrazo) 40mg,MED-OMEPRAZOLE-PHL-40,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Oral Airway 00,CON-ORAL-AIRWAY-00,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Oral Airway Size 3,CON-ORAL-AIRWAY-S3,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
